ticker,company,sector,price,recommendation,conviction_score,technical_score,fundamental_score,quality_score,risk_score,volume_score,pattern_score,ml_score,premarket_score,options_score,news_score,rotation_score,volatility_score,insider_score,institutional_score,social_score,macro_score,congressional_score,ml_probability,holding_period_days,exit_strategy,exit_plan,entry_price,stop_loss_price,target_price,exit_review_days,technical_drivers,risk_reward_ratio,pattern_signals,unusual_volume_ratio,pre_market_change_pct,pre_market_volume,forecast_volatility,key_catalysts
SYF,Synchrony Financial,Financial Services,74.54000091552734,BUY,68.56,85.0,60.0,78.0,65.0,50.0,74.0,48.1,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4904,9,Enter near $74.54; place stop around $70.99 (2×ATR); target about $79.87 (3×ATR); reassess after 9 days.,Enter near $74.54; place stop around $70.99 (2×ATR); target about $79.87 (3×ATR); reassess after 9 days.,74.54,70.99,79.87,9,"RSI 47; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +11.7% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.57,,,0.214,"Double Bottom, Cup & Handle"
JNJ,Johnson & Johnson,Healthcare,179.7100067138672,BUY,68.35,81.0,66.0,68.0,80.0,55.0,74.0,43.4,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4668,10,Enter near $179.71; place stop around $174.79 (2×ATR); target about $187.09 (3×ATR); reassess after 10 days.,Enter near $179.71; place stop around $174.79 (2×ATR); target about $187.09 (3×ATR); reassess after 10 days.,179.71,174.79,187.09,10,"RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +17.6% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",1.03,,,0.149,"Double Bottom, Cup & Handle"
MO,"Altria Group, Inc.",Consumer Defensive,65.70999908447266,BUY,67.64,85.0,60.0,60.0,80.0,50.0,74.0,45.3,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4767,10,Enter near $65.71; place stop around $63.60 (2×ATR); target about $68.87 (3×ATR); reassess after 10 days.,Enter near $65.71; place stop around $63.60 (2×ATR); target about $68.87 (3×ATR); reassess after 10 days.,65.71,63.6,68.87,10,"RSI 50; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +12.1% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.66,,,0.186,"Double Bottom, Cup & Handle"
FFIV,"F5, Inc.",Technology,324.8699951171875,BUY,67.63,85.0,50.0,78.0,65.0,50.0,74.0,47.0,50,50.0,50.0,50.0,70,50.0,50.0,50.0,60,50,0.4849,9,Enter near $324.87; place stop around $310.10 (2×ATR); target about $347.02 (3×ATR); reassess after 9 days.,Enter near $324.87; place stop around $310.10 (2×ATR); target about $347.02 (3×ATR); reassess after 9 days.,324.87,310.1,347.02,9,"RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +10.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.62,,,0.227,"Double Bottom, Cup & Handle"
LOW,"Lowe's Companies, Inc.",Unknown,257.1199951171875,BUY,67.51,96.0,60.0,50.0,65.0,50.0,74.0,45.0,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.475,9,Enter near $257.12; place stop around $248.66 (2×ATR); target about $269.81 (3×ATR); reassess after 9 days.,Enter near $257.12; place stop around $248.66 (2×ATR); target about $269.81 (3×ATR); reassess after 9 days.,257.12,248.66,269.81,9,"RSI 25 (oversold rebound); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +15.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.69,,,0.199,"Double Bottom, Cup & Handle"
ORCL,Oracle Corporation,Technology,283.4599914550781,BUY,67.4,89.0,46.0,78.0,45.0,50.0,74.0,69.4,50,50.0,50.0,50.0,35,50.0,50.0,50.0,60,50,0.5969,4,Enter near $283.46; place stop around $238.64 (2×ATR); target about $350.70 (3×ATR); reassess after 4 days.,Enter near $283.46; place stop around $238.64 (2×ATR); target about $350.70 (3×ATR); reassess after 4 days.,283.46,238.64,350.7,4,"RSI 60; Price above 50-day trend; Golden cross bias (50d > 200d); 1M +18.0% momentum; 3M +29.7% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 60%",2.0,"Double Bottom, Cup & Handle",0.7,,,1.116,"Double Bottom, Cup & Handle"
MSFT,Microsoft Corporation,Technology,511.4599914550781,BUY,67.02,61.0,56.0,78.0,65.0,50.0,74.0,45.7,50,50.0,90.8,50.0,70,50.0,65.0,50.0,60,50,0.4784,10,Enter near $511.46; place stop around $497.56 (2×ATR); target about $532.30 (3×ATR); reassess after 10 days.,Enter near $511.46; place stop around $497.56 (2×ATR); target about $532.30 (3×ATR); reassess after 10 days.,511.46,497.56,532.3,10,"RSI 63; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.79,,,0.16,"Double Bottom, Cup & Handle"
AMZN,"Amazon.com, Inc.",Consumer Cyclical,219.77999877929688,BUY,67.02,91.0,56.0,68.0,65.0,50.0,50.0,49.0,50,50.0,50.0,50.0,50,70.0,50.0,50.0,50,50,0.4948,8,Enter near $219.78; place stop around $210.00 (2×ATR); target about $234.46 (3×ATR); reassess after 8 days.,Enter near $219.78; place stop around $210.00 (2×ATR); target about $234.46 (3×ATR); reassess after 8 days.,219.78,210.0,234.46,8,"RSI 28 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 1M -5.1% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 49%",2.0,"Double Top, Cup & Handle",0.93,,,0.266,"Double Top, Cup & Handle; Insider accumulation"
NDAQ,"Nasdaq, Inc.",Financial Services,87.51000213623047,BUY,66.8,91.0,50.0,70.0,65.0,50.0,50.0,49.1,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4955,9,Enter near $87.51; place stop around $84.06 (2×ATR); target about $92.68 (3×ATR); reassess after 9 days.,Enter near $87.51; place stop around $84.06 (2×ATR); target about $92.68 (3×ATR); reassess after 9 days.,87.51,84.06,92.68,9,"RSI 25 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 1M -8.1% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 50%",2.0,"Double Top, Cup & Handle",0.58,,,0.214,"Double Top, Cup & Handle"
MTB,M&T Bank Corporation,Financial Services,200.13999938964844,BUY,66.57,81.0,60.0,60.0,70.0,50.0,74.0,45.9,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4795,9,Enter near $200.14; place stop around $192.90 (2×ATR); target about $211.00 (3×ATR); reassess after 9 days.,Enter near $200.14; place stop around $192.90 (2×ATR); target about $211.00 (3×ATR); reassess after 9 days.,200.14,192.9,211.0,9,"RSI 52; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.65,,,0.179,"Double Bottom, Cup & Handle"
