ticker,company,sector,price,recommendation,conviction_score,technical_score,fundamental_score,quality_score,risk_score,volume_score,pattern_score,ml_score,premarket_score,options_score,news_score,rotation_score,volatility_score,insider_score,institutional_score,social_score,macro_score,congressional_score,ml_probability,holding_period_days,exit_strategy,exit_plan,entry_price,stop_loss_price,target_price,exit_review_days,technical_drivers,risk_reward_ratio,pattern_signals,unusual_volume_ratio,pre_market_change_pct,pre_market_volume,forecast_volatility,key_catalysts
SYF,Synchrony Financial,Financial Services,74.54000091552734,BUY,68.6,85.0,60.0,78.0,65.0,50.0,74.0,48.4,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4921,9,Enter near $74.54; place stop around $70.99 (2×ATR); target about $79.87 (3×ATR); reassess after 9 days.,Enter near $74.54; place stop around $70.99 (2×ATR); target about $79.87 (3×ATR); reassess after 9 days.,74.54,70.99,79.87,9,"RSI 47; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +11.7% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.57,,,0.214,"Double Bottom, Cup & Handle"
JNJ,Johnson & Johnson,Healthcare,179.7100067138672,BUY,68.36,81.0,66.0,68.0,80.0,55.0,74.0,43.4,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4672,10,Enter near $179.71; place stop around $174.79 (2×ATR); target about $187.09 (3×ATR); reassess after 10 days.,Enter near $179.71; place stop around $174.79 (2×ATR); target about $187.09 (3×ATR); reassess after 10 days.,179.71,174.79,187.09,10,"RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +17.6% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",1.03,,,0.149,"Double Bottom, Cup & Handle"
UBER,"Uber Technologies, Inc.",Technology,98.44999694824219,BUY,68.16,81.0,66.0,78.0,65.0,50.0,74.0,51.8,50,50.0,50.0,50.0,50,50.0,50.0,50.0,60,50,0.5088,9,Enter near $98.45; place stop around $92.68 (2×ATR); target about $107.10 (3×ATR); reassess after 9 days.,Enter near $98.45; place stop around $92.68 (2×ATR); target about $107.10 (3×ATR); reassess after 9 days.,98.45,92.68,107.1,9,"RSI 59; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +5.5% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 51%",2.0,"Double Bottom, Cup & Handle",0.55,,,0.316,"Double Bottom, Cup & Handle"
AAPL,Apple Inc.,Technology,255.4600067138672,BUY,67.97,70.0,56.0,68.0,65.0,50.0,74.0,49.0,50,65.0,77.2,50.0,50,50.0,50.0,86.0,60,50,0.4951,21,Enter near $255.46; place stop around $244.55 (2×ATR); target about $271.82 (3×ATR); reassess after 21 days.,Enter near $255.46; place stop around $244.55 (2×ATR); target about $271.82 (3×ATR); reassess after 21 days.,255.46,244.55,271.82,21,"RSI 67 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +9.8% momentum; 3M +24.5% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 50%",2.0,"Double Bottom, Cup & Handle",0.75,,,0.275,"Double Bottom, Cup & Handle; Unusual options flow"
RF,Regions Financial Corporation,Financial Services,26.6299991607666,BUY,67.92,85.0,60.0,70.0,65.0,50.0,74.0,48.1,50,50.0,50.0,50.0,70,50.0,50.0,50.0,55,50,0.4903,9,Enter near $26.63; place stop around $25.59 (2×ATR); target about $28.19 (3×ATR); reassess after 9 days.,Enter near $26.63; place stop around $25.59 (2×ATR); target about $28.19 (3×ATR); reassess after 9 days.,26.63,25.59,28.19,9,"RSI 44; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +13.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.93,,,0.198,"Double Bottom, Cup & Handle"
MO,"Altria Group, Inc.",Consumer Defensive,65.70999908447266,BUY,67.68,85.0,60.0,60.0,80.0,50.0,74.0,45.6,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4781,10,Enter near $65.71; place stop around $63.60 (2×ATR); target about $68.87 (3×ATR); reassess after 10 days.,Enter near $65.71; place stop around $63.60 (2×ATR); target about $68.87 (3×ATR); reassess after 10 days.,65.71,63.6,68.87,10,"RSI 50; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +12.1% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.66,,,0.186,"Double Bottom, Cup & Handle"
FFIV,"F5, Inc.",Technology,324.8699951171875,BUY,67.61,85.0,50.0,78.0,65.0,50.0,74.0,46.8,50,50.0,50.0,50.0,70,50.0,50.0,50.0,60,50,0.484,9,Enter near $324.87; place stop around $310.10 (2×ATR); target about $347.02 (3×ATR); reassess after 9 days.,Enter near $324.87; place stop around $310.10 (2×ATR); target about $347.02 (3×ATR); reassess after 9 days.,324.87,310.1,347.02,9,"RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +10.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.62,,,0.227,"Double Bottom, Cup & Handle"
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,257.1199951171875,BUY,67.46,96.0,60.0,50.0,65.0,50.0,74.0,44.6,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4728,9,Enter near $257.12; place stop around $248.66 (2×ATR); target about $269.81 (3×ATR); reassess after 9 days.,Enter near $257.12; place stop around $248.66 (2×ATR); target about $269.81 (3×ATR); reassess after 9 days.,257.12,248.66,269.81,9,"RSI 25 (oversold rebound); Price above 50-day trend; Golden cross bias (50d > 200d); 3M +15.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 47%",2.0,"Double Bottom, Cup & Handle",0.69,,,0.199,"Double Bottom, Cup & Handle"
ORCL,Oracle Corporation,Technology,283.4599914550781,BUY,67.21,89.0,46.0,78.0,45.0,50.0,74.0,67.8,50,50.0,50.0,50.0,35,50.0,50.0,50.0,60,50,0.5888,4,Enter near $283.46; place stop around $238.64 (2×ATR); target about $350.70 (3×ATR); reassess after 4 days.,Enter near $283.46; place stop around $238.64 (2×ATR); target about $350.70 (3×ATR); reassess after 4 days.,283.46,238.64,350.7,4,"RSI 60; Price above 50-day trend; Golden cross bias (50d > 200d); 1M +18.0% momentum; 3M +29.7% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 59%",2.0,"Double Bottom, Cup & Handle",0.7,,,1.116,"Double Bottom, Cup & Handle"
ABT,Abbott Laboratories,Healthcare,133.5500030517578,BUY,67.19,77.0,66.0,68.0,80.0,50.0,62.0,46.9,50,50.0,50.0,50.0,70,50.0,50.0,50.0,50,50,0.4845,9,Enter near $133.55; place stop around $128.16 (2×ATR); target about $141.63 (3×ATR); reassess after 9 days.,Enter near $133.55; place stop around $128.16 (2×ATR); target about $141.63 (3×ATR); reassess after 9 days.,133.55,128.16,141.63,9,RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom; ML upside odds 48%,2.0,Double Bottom,0.78,,,0.181,Double Bottom
